incident_id,channel,segment,start_time,end_time,duration_sec,n_events,peak_anomaly_score,mean_anomaly_score,spacecraft_incident_id
CADC0872_20_002,CADC0872,20,2022-06-02T01:23:21.000000Z,2022-06-02T01:27:47.000000Z,266.0,259,1.0,0.4170132778509518,661
CADC0872_21_002,CADC0872,21,2022-06-02T01:27:49.000000Z,2022-06-02T01:32:30.000000Z,281.0,275,1.0,0.40684959822942873,664
CADC0872_22_002,CADC0872,22,2022-06-02T01:32:32.000000Z,2022-06-02T01:35:35.000000Z,183.0,184,1.0,0.44046244062989076,667
CADC0872_23_002,CADC0872,23,2022-06-02T01:35:37.000000Z,2022-06-02T01:39:39.000000Z,242.0,201,0.4026349103243095,0.3850046380281938,669
CADC0872_24_002,CADC0872,24,2022-06-02T01:39:40.000000Z,2022-06-02T01:43:01.000000Z,201.0,202,1.0,0.44754251318043,672
CADC0872_25_002,CADC0872,25,2022-06-02T01:43:03.000000Z,2022-06-02T01:46:30.000000Z,207.0,199,0.3968459659256729,0.3886946249249129,676
CADC0872_26_002,CADC0872,26,2022-06-02T01:46:32.000000Z,2022-06-02T01:50:01.000000Z,209.0,180,0.4198503376772545,0.38649812252987525,678
CADC0872_27_002,CADC0872,27,2022-06-02T01:50:03.000000Z,2022-06-02T01:53:25.000000Z,202.0,186,0.4260377250085948,0.3884808329949288,681
CADC0872_28_002,CADC0872,28,2022-06-02T01:53:28.000000Z,2022-06-02T01:56:28.000000Z,180.0,177,0.3982778635536078,0.39127591650741844,683
CADC0872_29_002,CADC0872,29,2022-06-02T01:56:31.000000Z,2022-06-02T02:00:16.000000Z,225.0,226,1.0,0.515680230968804,685
CADC0872_30_002,CADC0872,30,2022-06-02T02:00:21.000000Z,2022-06-02T02:03:34.000000Z,193.0,173,0.9219487511293666,0.4237277782507472,688
CADC0872_31_002,CADC0872,31,2022-06-02T02:03:38.000000Z,2022-06-02T02:06:55.000000Z,197.0,184,1.0,0.4239964371999988,691
CADC0872_32_002,CADC0872,32,2022-06-02T02:06:59.000000Z,2022-06-02T02:10:18.000000Z,199.0,141,0.3982778635536078,0.3878263068481952,693
CADC0872_33_002,CADC0872,33,2022-06-02T02:10:20.000000Z,2022-06-02T02:14:08.000000Z,228.0,161,0.3922932283813618,0.38983274848682004,695
CADC0872_34_002,CADC0872,34,2022-06-02T02:14:10.000000Z,2022-06-02T02:17:14.000000Z,184.0,118,0.4277249031322851,0.38910437073473697,698
CADC0872_35_002,CADC0872,35,2022-06-02T02:17:16.000000Z,2022-06-02T02:21:01.000000Z,225.0,161,0.6511924102326102,0.3995393661862888,700
CADC0872_36_002,CADC0872,36,2022-06-02T02:21:03.000000Z,2022-06-02T02:24:35.000000Z,212.0,127,0.4859892918566726,0.38911011379790417,703
CADC0872_37_002,CADC0872,37,2022-06-02T02:24:38.000000Z,2022-06-02T02:27:49.000000Z,191.0,116,0.4275314214436295,0.38628568259778967,705
CADC0872_38_002,CADC0872,38,2022-06-02T02:27:50.000000Z,2022-06-02T02:31:06.000000Z,196.0,123,0.5993068447777145,0.3910484515716663,707
CADC0872_39_002,CADC0872,39,2022-06-02T02:31:09.000000Z,2022-06-02T02:34:26.000000Z,197.0,118,0.398294526193107,0.386892574361396,708
CADC0872_40_002,CADC0872,40,2022-06-02T02:34:30.000000Z,2022-06-02T02:37:30.000000Z,180.0,102,0.3927554754939063,0.38477295229734193,710
CADC0872_41_002,CADC0872,41,2022-06-02T02:37:34.000000Z,2022-06-02T02:40:51.000000Z,197.0,127,0.3922932283813618,0.38904216979566814,712
CADC0872_42_002,CADC0872,42,2022-06-02T02:40:55.000000Z,2022-06-02T02:44:06.000000Z,191.0,165,0.8240598622404778,0.40721969195167845,714
CADC0872_43_002,CADC0872,43,2022-06-02T02:44:11.000000Z,2022-06-02T02:47:03.000000Z,172.0,157,0.8511924102326102,0.4221491433006472,716
CADC0872_44_002,CADC0872,44,2022-06-02T02:47:10.000000Z,2022-06-02T02:50:32.000000Z,202.0,124,0.3922932283813618,0.39050551713476933,718
CADC0872_45_002,CADC0872,45,2022-06-02T02:50:36.000000Z,2022-06-02T02:53:49.000000Z,193.0,159,0.3965156975398181,0.38884653211850284,720
CADC0872_46_002,CADC0872,46,2022-06-02T02:53:52.000000Z,2022-06-02T02:56:56.000000Z,184.0,173,0.3982778635536078,0.39044715769793503,722
CADC0872_47_002,CADC0872,47,2022-06-02T02:56:58.000000Z,2022-06-02T03:00:01.000000Z,183.0,183,0.3927554754939063,0.3906621546056892,725
CADC0872_48_002,CADC0872,48,2022-06-02T03:00:03.000000Z,2022-06-02T03:03:55.000000Z,232.0,227,0.4216811833491584,0.38918664173215545,727
CADC0872_49_002,CADC0872,49,2022-06-02T03:03:57.000000Z,2022-06-02T03:07:01.000000Z,184.0,181,0.4041095216653941,0.3883955718970651,730
CADC0872_50_002,CADC0872,50,2022-06-02T03:07:03.000000Z,2022-06-02T03:10:19.000000Z,196.0,194,0.6487339243121713,0.39143402892124135,732
CADC0872_51_002,CADC0872,51,2022-06-02T03:10:23.000000Z,2022-06-02T03:13:49.000000Z,206.0,207,1.0,0.46650898839077726,735
CADC0872_52_002,CADC0872,52,2022-06-02T03:13:52.000000Z,2022-06-02T03:16:48.000000Z,176.0,167,0.84,0.4139393743025625,737
CADC0872_53_002,CADC0872,53,2022-06-02T03:16:51.000000Z,2022-06-02T03:20:04.000000Z,193.0,172,0.4009278927548027,0.38389512978857976,740
CADC0872_54_002,CADC0872,54,2022-06-02T03:20:08.000000Z,2022-06-02T03:23:07.000000Z,179.0,173,0.91,0.3936546311773722,742
CADC0872_55_002,CADC0872,55,2022-06-02T03:23:11.000000Z,2022-06-02T03:26:03.000000Z,172.0,157,0.4026349103243095,0.3892734695142263,746
CADC0872_56_002,CADC0872,56,2022-06-02T03:26:06.000000Z,2022-06-02T03:29:15.000000Z,189.0,179,0.3982778635536078,0.38965076273087174,748
CADC0872_57_002,CADC0872,57,2022-06-02T03:29:17.000000Z,2022-06-02T03:32:27.000000Z,190.0,191,0.99,0.43657618508740814,750
CADC0872_58_002,CADC0872,58,2022-06-02T03:32:31.000000Z,2022-06-02T03:35:08.000000Z,157.0,149,0.3927554754939063,0.3896764266598401,753
CADC0872_59_002,CADC0872,59,2022-06-02T03:35:11.000000Z,2022-06-02T03:38:24.000000Z,193.0,194,1.0,0.4212876729228505,755
CADC0872_60_002,CADC0872,60,2022-06-02T03:38:26.000000Z,2022-06-02T03:41:38.000000Z,192.0,193,1.0,0.40464878603012994,757
CADC0872_61_002,CADC0872,61,2022-06-02T03:41:39.000000Z,2022-06-02T03:44:43.000000Z,184.0,185,0.6905492690201388,0.39375057934446417,759
CADC0872_62_002,CADC0872,62,2022-06-02T03:44:45.000000Z,2022-06-02T03:47:36.000000Z,171.0,172,1.0,0.49184835573348706,761
CADC0872_63_002,CADC0872,63,2022-06-02T03:47:38.000000Z,2022-06-02T03:51:04.000000Z,206.0,157,0.7050245270209315,0.4052086872164301,763
CADC0872_64_002,CADC0872,64,2022-06-02T03:51:06.000000Z,2022-06-02T03:54:10.000000Z,184.0,149,0.7473063668573352,0.40771719341569385,765
CADC0872_65_002,CADC0872,65,2022-06-02T03:54:14.000000Z,2022-06-02T03:57:20.000000Z,186.0,99,0.3982778635536078,0.38563080545482087,768
CADC0872_66_002,CADC0872,66,2022-06-02T03:57:24.000000Z,2022-06-02T04:00:36.000000Z,192.0,123,0.5930492690201389,0.3925495770412845,770
CADC0872_67_002,CADC0872,67,2022-06-02T04:00:39.000000Z,2022-06-02T04:03:36.000000Z,177.0,109,0.3922932283813618,0.38920819514804134,772
CADC0872_68_002,CADC0872,68,2022-06-02T04:03:39.000000Z,2022-06-02T04:06:41.000000Z,182.0,111,0.398294526193107,0.3908067550803284,774
CADC0872_69_002,CADC0872,69,2022-06-02T04:06:44.000000Z,2022-06-02T04:09:46.000000Z,182.0,114,0.3922932283813618,0.39142084415256195,776
CADC0872_70_002,CADC0872,70,2022-06-02T04:09:49.000000Z,2022-06-02T04:12:36.000000Z,167.0,107,0.3922932283813618,0.3913743437816069,778
CADC0872_71_002,CADC0872,71,2022-06-02T04:12:39.000000Z,2022-06-02T04:15:41.000000Z,182.0,183,0.9027690737939515,0.5003343658483201,780
CADC0872_72_002,CADC0872,72,2022-06-02T04:15:44.000000Z,2022-06-02T04:18:50.000000Z,186.0,184,0.6310074528509417,0.39599362638864216,782
CADC0872_73_002,CADC0872,73,2022-06-02T04:18:52.000000Z,2022-06-02T04:21:33.000000Z,161.0,162,0.3927554754939063,0.39229608175859976,784
CADC0872_74_002,CADC0872,74,2022-06-02T04:21:34.000000Z,2022-06-02T04:24:44.000000Z,190.0,191,1.0,0.4255873397445781,786
CADC0872_75_002,CADC0872,75,2022-06-02T04:24:46.000000Z,2022-06-02T04:27:53.000000Z,187.0,188,0.3982778635536078,0.39230503433503766,788
CADC0872_76_002,CADC0872,76,2022-06-02T04:27:55.000000Z,2022-06-02T04:30:54.000000Z,179.0,164,0.3927554754939063,0.39209471195949214,789
CADC0872_77_002,CADC0872,77,2022-06-02T04:30:57.000000Z,2022-06-02T04:33:56.000000Z,179.0,151,0.3922932283813618,0.3918581578051966,791
CADC0872_78_002,CADC0872,78,2022-06-02T04:34:01.000000Z,2022-06-02T04:37:16.000000Z,195.0,172,0.4124229961199089,0.3908165895024083,793
CADC0872_79_002,CADC0872,79,2022-06-02T04:37:18.000000Z,2022-06-02T04:40:20.000000Z,182.0,166,0.4274540309249007,0.3914056908463646,795
CADC0872_80_002,CADC0872,80,2022-06-02T04:40:22.000000Z,2022-06-02T04:43:19.000000Z,177.0,178,1.0,0.4503134563410538,796
CADC0872_81_002,CADC0872,81,2022-06-02T04:43:22.000000Z,2022-06-02T04:46:33.000000Z,191.0,175,0.7023442938684085,0.39069273022014184,798
CADC0872_82_002,CADC0872,82,2022-06-02T04:46:35.000000Z,2022-06-02T04:49:20.000000Z,165.0,166,1.0,0.43323641266558227,800
CADC0872_83_002,CADC0872,83,2022-06-02T04:49:22.000000Z,2022-06-02T04:52:25.000000Z,183.0,184,0.4065156975398182,0.38838354397081987,801
CADC0872_84_002,CADC0872,84,2022-06-02T04:52:27.000000Z,2022-06-02T04:55:23.000000Z,176.0,155,0.396612150978448,0.38857259886924084,804
CADC0872_85_002,CADC0872,85,2022-06-02T04:55:25.000000Z,2022-06-02T04:58:15.000000Z,170.0,105,0.3983457881083243,0.38524287781465333,806
CADC0872_86_002,CADC0872,86,2022-06-02T04:58:19.000000Z,2022-06-02T05:01:14.000000Z,175.0,129,0.7002057579959581,0.40511783185755806,808
CADC0872_87_002,CADC0872,87,2022-06-02T05:01:16.000000Z,2022-06-02T05:04:12.000000Z,176.0,139,0.5944399986570478,0.3971521059750542,810
CADC0872_88_002,CADC0872,88,2022-06-02T05:04:14.000000Z,2022-06-02T05:06:54.000000Z,160.0,103,0.4901941787690504,0.39253038630115433,812
CADC0872_89_002,CADC0872,89,2022-06-02T05:06:57.000000Z,2022-06-02T05:09:55.000000Z,178.0,123,0.3982778635536078,0.3903112134668264,814
CADC0872_90_002,CADC0872,90,2022-06-02T05:09:57.000000Z,2022-06-02T05:12:54.000000Z,177.0,179,0.9091206975915672,0.5083519150209221,816
CADC0872_91_002,CADC0872,91,2022-06-02T05:12:57.000000Z,2022-06-02T05:15:52.000000Z,175.0,142,0.746126192097062,0.40684470860215655,817
CADC0872_92_002,CADC0872,92,2022-06-02T05:15:54.000000Z,2022-06-02T05:18:44.000000Z,170.0,104,0.3922932283813618,0.391314298989139,819
CADC0872_93_002,CADC0872,93,2022-06-02T05:18:48.000000Z,2022-06-02T05:21:49.000000Z,181.0,115,0.3924445302202744,0.3911455030136421,821
CADC0872_94_002,CADC0872,94,2022-06-02T05:21:53.000000Z,2022-06-02T05:24:45.000000Z,172.0,136,0.7111924102326103,0.40688706703879945,823
CADC0872_95_002,CADC0872,95,2022-06-02T05:24:47.000000Z,2022-06-02T05:27:44.000000Z,177.0,179,1.0,0.5196650955957057,824
CADC0872_96_002,CADC0872,96,2022-06-02T05:27:48.000000Z,2022-06-02T05:30:49.000000Z,181.0,98,0.3987017388858934,0.3843271751490662,826
CADC0872_97_002,CADC0872,97,2022-06-02T05:30:50.000000Z,2022-06-02T05:33:40.000000Z,170.0,171,1.0,0.5421346602980598,828
CADC0872_98_002,CADC0872,98,2022-06-02T05:33:43.000000Z,2022-06-02T05:36:40.000000Z,177.0,108,0.3981978242315943,0.3880262993107096,830
CADC0872_99_002,CADC0872,99,2022-06-02T05:36:43.000000Z,2022-06-02T05:39:40.000000Z,177.0,178,1.0,0.48051260722820427,832
CADC0872_100_002,CADC0872,100,2022-06-02T05:39:42.000000Z,2022-06-02T05:42:38.000000Z,176.0,126,0.4221879244823237,0.39118628163549457,834
CADC0872_101_002,CADC0872,101,2022-06-02T05:42:40.000000Z,2022-06-02T05:45:34.000000Z,174.0,119,0.3982778635536078,0.3895737289690322,835
CADC0872_102_002,CADC0872,102,2022-06-02T05:45:36.000000Z,2022-06-02T05:48:24.000000Z,168.0,130,0.3924445302202744,0.3908791092662656,836
CADC0872_103_002,CADC0872,103,2022-06-02T05:48:27.000000Z,2022-06-02T05:51:08.000000Z,161.0,156,0.7615103079306925,0.40371485416194364,838
CADC0872_104_002,CADC0872,104,2022-06-02T05:51:09.000000Z,2022-06-02T05:54:03.000000Z,174.0,163,1.0,0.43881008678479294,840
CADC0872_105_002,CADC0872,105,2022-06-02T05:54:05.000000Z,2022-06-02T05:56:53.000000Z,168.0,149,0.3927554754939063,0.39114506201113775,842
CADC0872_106_002,CADC0872,106,2022-06-02T05:56:54.000000Z,2022-06-02T05:59:51.000000Z,177.0,178,1.0,0.4416788687270732,843
CADC0872_107_002,CADC0872,107,2022-06-02T05:59:53.000000Z,2022-06-02T06:02:49.000000Z,176.0,153,0.3922932283813618,0.3919704605439714,845
CADC0872_108_002,CADC0872,108,2022-06-02T06:02:50.000000Z,2022-06-02T06:05:50.000000Z,180.0,158,0.5905525157229005,0.3936235544477447,847
CADC0872_109_002,CADC0872,109,2022-06-02T06:05:54.000000Z,2022-06-02T06:08:50.000000Z,176.0,121,0.3927554754939063,0.3919923350069855,849
CADC0872_110_002,CADC0872,110,2022-06-02T06:08:54.000000Z,2022-06-02T06:11:44.000000Z,170.0,118,1.0,0.4710515055840365,850
CADC0872_111_002,CADC0872,111,2022-06-02T06:11:49.000000Z,2022-06-02T06:14:49.000000Z,180.0,93,0.3922932283813618,0.38984985491893587,852
CADC0872_112_002,CADC0872,112,2022-06-02T06:14:52.000000Z,2022-06-02T06:17:30.000000Z,158.0,101,0.5783290203066411,0.3960297276808209,854
CADC0872_113_002,CADC0872,113,2022-06-02T06:17:33.000000Z,2022-06-02T06:20:35.000000Z,182.0,108,0.4260377250085948,0.3888642644113706,856
CADC0872_114_002,CADC0872,114,2022-06-02T06:20:38.000000Z,2022-06-02T06:23:31.000000Z,173.0,143,1.0,0.48867260321148476,857
CADC0872_115_002,CADC0872,115,2022-06-02T06:23:32.000000Z,2022-06-02T06:26:32.000000Z,180.0,124,0.6344778404487103,0.3950856463160192,860
CADC0872_116_002,CADC0872,116,2022-06-02T06:26:34.000000Z,2022-06-02T06:29:33.000000Z,179.0,96,0.3922932283813618,0.38641543267084183,862
CADC0872_117_002,CADC0872,117,2022-06-02T06:29:35.000000Z,2022-06-02T06:32:20.000000Z,165.0,105,0.4114494202917449,0.3903199188132698,864
CADC0872_118_002,CADC0872,118,2022-06-02T06:32:23.000000Z,2022-06-02T06:35:20.000000Z,177.0,116,0.4024229961199089,0.39048238211494857,866
CADC0872_119_002,CADC0872,119,2022-06-02T06:35:22.000000Z,2022-06-02T06:38:19.000000Z,177.0,146,1.0,0.44035549734786794,868
CADC0872_120_002,CADC0872,120,2022-06-02T06:38:20.000000Z,2022-06-02T06:41:15.000000Z,175.0,132,0.79184797031884,0.40417749619091525,870
CADC0872_121_002,CADC0872,121,2022-06-02T06:41:17.000000Z,2022-06-02T06:44:19.000000Z,182.0,184,1.0,0.5156141641403117,872
CADC0872_122_002,CADC0872,122,2022-06-02T06:44:21.000000Z,2022-06-02T06:47:15.000000Z,174.0,116,0.3927554754939063,0.39138701764399214,874
CADC0872_123_002,CADC0872,123,2022-06-02T06:47:18.000000Z,2022-06-02T06:50:20.000000Z,182.0,125,0.4694729929130972,0.39189056589652954,877
CADC0872_124_002,CADC0872,124,2022-06-02T06:50:23.000000Z,2022-06-02T06:53:17.000000Z,174.0,112,0.3922932283813618,0.3897971449742303,879
CADC0872_125_002,CADC0872,125,2022-06-02T06:53:18.000000Z,2022-06-02T06:56:10.000000Z,172.0,173,0.99,0.5135939574215819,881
CADC0872_126_002,CADC0872,126,2022-06-02T06:56:12.000000Z,2022-06-02T06:59:19.000000Z,187.0,188,0.9818887280118732,0.4857440866114314,883
CADC0872_127_002,CADC0872,127,2022-06-02T06:59:22.000000Z,2022-06-02T07:02:10.000000Z,168.0,170,1.0,0.5495541442309492,884
CADC0872_128_002,CADC0872,128,2022-06-02T07:02:13.000000Z,2022-06-02T07:05:14.000000Z,181.0,111,0.445086820855901,0.37869773204532897,886
CADC0872_129_002,CADC0872,129,2022-06-02T07:05:20.000000Z,2022-06-02T07:08:24.000000Z,184.0,185,1.0,0.5394675015748016,888
CADC0872_130_002,CADC0872,130,2022-06-02T07:08:28.000000Z,2022-06-02T07:11:28.000000Z,180.0,92,0.3924445302202744,0.3887798675201205,890
CADC0872_131_002,CADC0872,131,2022-06-02T07:11:30.000000Z,2022-06-02T07:14:40.000000Z,190.0,175,0.5890097332402447,0.39160702838062994,892
CADC0872_132_002,CADC0872,132,2022-06-02T07:14:42.000000Z,2022-06-02T07:17:37.000000Z,175.0,176,1.0,0.40670709728655424,893
CADC0872_133_002,CADC0872,133,2022-06-02T07:17:39.000000Z,2022-06-02T07:20:42.000000Z,183.0,184,0.3982778635536078,0.3920519130085016,895
CADC0872_134_002,CADC0872,134,2022-06-02T07:20:44.000000Z,2022-06-02T07:23:41.000000Z,177.0,178,1.0,0.4290453556695596,897
CADC0872_135_002,CADC0872,135,2022-06-02T07:23:43.000000Z,2022-06-02T07:26:37.000000Z,174.0,175,0.3922932283813618,0.39225742253122947,899
CADC0872_136_002,CADC0872,136,2022-06-02T07:26:38.000000Z,2022-06-02T07:29:46.000000Z,188.0,189,0.783913043478261,0.39567748742727893,900
CADC0872_137_002,CADC0872,137,2022-06-02T07:29:48.000000Z,2022-06-02T07:32:49.000000Z,181.0,182,0.3922932283813618,0.3922065386514632,902
CADC0872_138_002,CADC0872,138,2022-06-02T08:23:28.000000Z,2022-06-02T08:26:35.000000Z,187.0,117,0.3922932283813618,0.3904792871153534,904
CADC0872_139_002,CADC0872,139,2022-06-02T08:26:37.000000Z,2022-06-02T08:29:50.000000Z,193.0,195,1.0,0.5026965125535309,906
CADC0872_140_002,CADC0872,140,2022-06-02T08:29:53.000000Z,2022-06-02T08:32:59.000000Z,186.0,120,0.397230267466149,0.3909063656999426,907
CADC0872_141_002,CADC0872,141,2022-06-02T08:33:00.000000Z,2022-06-02T08:36:08.000000Z,188.0,189,1.0,0.5787890693546951,909
CADC0872_142_002,CADC0872,142,2022-06-02T08:36:09.000000Z,2022-06-02T08:39:30.000000Z,201.0,161,0.931518009408982,0.4486535642513825,911
CADC0872_143_002,CADC0872,143,2022-06-02T08:39:32.000000Z,2022-06-02T08:42:50.000000Z,198.0,200,1.0,0.4989745277583239,914
CADC0872_144_002,CADC0872,144,2022-06-02T08:42:52.000000Z,2022-06-02T08:46:15.000000Z,203.0,109,0.3982778635536078,0.38738662269498214,915
CADC0872_145_002,CADC0872,145,2022-06-02T08:46:19.000000Z,2022-06-02T08:49:50.000000Z,211.0,163,0.3982778635536078,0.3895009457867141,917
CADC0872_146_002,CADC0872,146,2022-06-02T08:49:51.000000Z,2022-06-02T08:53:07.000000Z,196.0,197,1.0,0.4998103015555743,919
CADC0872_147_002,CADC0872,147,2022-06-02T08:53:09.000000Z,2022-06-02T08:56:45.000000Z,216.0,189,0.7511803037190588,0.4091637190561503,922
CADC0872_148_002,CADC0872,148,2022-06-02T08:56:47.000000Z,2022-06-02T08:59:58.000000Z,191.0,183,0.959743230319982,0.4218104485955642,924
CADC0872_149_002,CADC0872,149,2022-06-02T09:00:00.000000Z,2022-06-02T09:03:22.000000Z,202.0,186,0.5026964316803317,0.3924399790315054,926
CADC0872_150_002,CADC0872,150,2022-06-02T09:03:23.000000Z,2022-06-02T09:06:59.000000Z,216.0,217,0.887228756199626,0.4532716040783672,927
CADC0872_151_002,CADC0872,151,2022-06-02T09:07:02.000000Z,2022-06-02T09:10:32.000000Z,210.0,211,1.0,0.45670339747220884,929
CADC0872_152_002,CADC0872,152,2022-06-02T09:10:34.000000Z,2022-06-02T09:13:44.000000Z,190.0,161,0.3922932283813618,0.39041169479527804,930
CADC0872_153_002,CADC0872,153,2022-06-02T09:13:45.000000Z,2022-06-02T09:17:24.000000Z,219.0,176,0.6444659356868055,0.3934097176073973,932
CADC0872_154_002,CADC0872,154,2022-06-02T09:17:28.000000Z,2022-06-02T09:20:49.000000Z,201.0,139,0.3924445302202744,0.39073715590558417,934
CADC0872_155_002,CADC0872,155,2022-06-02T09:20:50.000000Z,2022-06-02T09:24:18.000000Z,208.0,168,0.6771845092188954,0.40499809734706393,936
CADC0872_156_002,CADC0872,156,2022-06-02T09:24:20.000000Z,2022-06-02T09:27:38.000000Z,198.0,161,0.4065156975398182,0.3890307010598968,938
CADC0872_157_002,CADC0872,157,2022-06-02T09:27:39.000000Z,2022-06-02T09:31:15.000000Z,216.0,217,0.4176032685277051,0.38756329189902894,940
CADC0872_158_002,CADC0872,158,2022-06-02T09:31:16.000000Z,2022-06-02T09:34:41.000000Z,205.0,206,0.4524258508728384,0.3891771238069237,943
CADC0872_159_002,CADC0872,159,2022-06-02T09:34:43.000000Z,2022-06-02T09:38:34.000000Z,231.0,201,0.3982778635536078,0.3869282572418406,944
CADC0872_160_002,CADC0872,160,2022-06-02T09:38:36.000000Z,2022-06-02T09:42:20.000000Z,224.0,225,1.0,0.4261331915731872,947
CADC0872_161_002,CADC0872,161,2022-06-02T09:42:22.000000Z,2022-06-02T09:46:17.000000Z,235.0,236,0.3926474241477191,0.3911633243909448,949
CADC0872_162_002,CADC0872,162,2022-06-02T09:46:18.000000Z,2022-06-02T09:50:34.000000Z,256.0,257,1.0,0.41281268190120907,950
CADC0872_163_002,CADC0872,163,2022-06-02T09:50:36.000000Z,2022-06-02T09:54:05.000000Z,209.0,210,1.0,0.429929202929552,953
CADC0872_164_002,CADC0872,164,2022-06-02T09:54:07.000000Z,2022-06-02T09:58:02.000000Z,235.0,236,0.3922932283813618,0.39220936017937336,955
CADC0872_165_002,CADC0872,165,2022-06-02T09:58:03.000000Z,2022-06-02T10:01:54.000000Z,231.0,232,1.0,0.4202329388675046,958
CADC0872_166_002,CADC0872,166,2022-06-02T10:01:57.000000Z,2022-06-02T10:05:48.000000Z,231.0,232,0.99,0.40826964310565994,960
CADC0872_167_002,CADC0872,167,2022-06-02T10:05:50.000000Z,2022-06-02T10:09:28.000000Z,218.0,214,0.4026349103243095,0.38936173691403386,961
CADC0872_168_002,CADC0872,168,2022-06-02T10:09:30.000000Z,2022-06-02T10:13:11.000000Z,221.0,213,0.4055956751478402,0.38581095359478257,963
CADC0872_169_002,CADC0872,169,2022-06-02T10:13:13.000000Z,2022-06-02T10:17:35.000000Z,262.0,253,0.3982778635536078,0.3841131861940212,966
CADC0872_170_002,CADC0872,170,2022-06-02T10:17:37.000000Z,2022-06-02T10:21:17.000000Z,220.0,221,1.0,0.4550445646424651,969
CADC0872_171_002,CADC0872,171,2022-06-02T10:21:19.000000Z,2022-06-02T10:26:30.000000Z,311.0,223,0.4863900000948882,0.39248294073732004,972
CADC0872_172_002,CADC0872,172,2022-06-02T10:26:33.000000Z,2022-06-02T10:30:45.000000Z,252.0,164,0.505054895292903,0.39049897887316587,976
CADC0872_173_002,CADC0872,173,2022-06-02T10:30:48.000000Z,2022-06-02T10:35:37.000000Z,289.0,211,0.4255636128097045,0.3879987287257273,979
CADC0872_174_002,CADC0872,174,2022-06-02T10:35:42.000000Z,2022-06-02T10:40:16.000000Z,274.0,276,0.9818887280118732,0.5005262503204717,982
CADC0872_175_002,CADC0872,175,2022-06-02T10:40:18.000000Z,2022-06-02T10:44:38.000000Z,260.0,203,0.3924313254788847,0.38782956996044404,985
CADC0872_176_002,CADC0872,176,2022-06-02T10:44:39.000000Z,2022-06-02T10:48:49.000000Z,250.0,250,0.9051752468558624,0.4958130655759094,988
