spacecraft_incident_id,start_time,end_time,duration_sec,channels_affected,n_channels_affected,n_events_total,peak_anomaly_score,mean_anomaly_score,segments_affected
46,2022-01-04T22:44:25.000000Z,2022-01-04T22:45:15.000000Z,50.0,CADC0872,1,2,0.4505492690201387,0.3759836048600843,1923
48,2022-01-04T23:00:50.000000Z,2022-01-04T23:01:40.000000Z,50.0,CADC0872,1,2,0.3107587524254022,0.3103119238880365,1933
49,2022-01-05T00:44:30.000000Z,2022-01-05T00:47:00.000000Z,150.0,CADC0886,1,29,1.0,0.8768432601880879,817
50,2022-01-05T01:57:25.000000Z,2022-01-05T01:58:25.000000Z,60.0,CADC0886,1,13,1.0,0.8179249916749918,818
51,2022-01-05T02:00:35.000000Z,2022-01-05T02:00:40.000000Z,5.0,CADC0886,1,2,0.84,0.7949999999999999,818
52,2022-01-05T02:17:40.000000Z,2022-01-05T02:20:20.000000Z,160.0,CADC0886,1,33,1.0,0.883030303030303,819
56,2022-01-05T05:43:21.000000Z,2022-01-05T05:44:16.000000Z,55.0,CADC0888,1,3,0.68,0.5273333333333333,1041
57,2022-01-05T05:45:21.000000Z,2022-01-05T05:46:21.000000Z,60.0,CADC0888,1,13,0.96,0.7145128205128206,1043
63,2022-01-05T05:59:46.000000Z,2022-01-05T06:00:46.000000Z,60.0,CADC0888,1,13,0.97,0.6252008547008546,1057
66,2022-01-05T07:06:51.000000Z,2022-01-05T07:07:36.000000Z,45.0,CADC0888,1,4,0.698047619047619,0.5595119047619047,1066
67,2022-01-05T07:09:01.000000Z,2022-01-05T07:09:06.000000Z,5.0,CADC0888,1,2,0.99,0.99,1068
74,2022-01-26T02:31:24.000000Z,2022-01-26T02:33:34.000000Z,130.0,CADC0872,1,10,0.3996228867019863,0.3258338203343492,1938
75,2022-01-26T02:36:14.000000Z,2022-01-26T02:37:09.000000Z,55.0,CADC0872,1,3,0.3505799969932184,0.32280387416006495,1938
78,2022-01-26T02:48:29.000000Z,2022-01-26T02:55:49.000000Z,440.0,CADC0872,1,32,1.0,0.40151773704924976,1939
80,2022-01-26T03:56:59.000000Z,2022-01-26T03:57:09.000000Z,10.0,CADC0873,1,2,0.7796414364641961,0.5899764845342808,1176
82,2022-01-26T04:02:44.000000Z,2022-01-26T04:02:59.000000Z,15.0,CADC0873,1,3,0.4242817443946495,0.3602657700300867,1177
85,2022-01-26T05:33:33.000000Z,2022-01-26T05:33:38.000000Z,5.0,CADC0872,1,2,0.3684264130663782,0.3470226254760283,1941
86,2022-01-26T05:36:38.000000Z,2022-01-26T05:36:48.000000Z,10.0,CADC0872,1,2,0.3282555578581391,0.3169293123296456,1941
87,2022-01-26T05:37:53.000000Z,2022-01-26T05:38:23.000000Z,30.0,CADC0872,1,3,0.3192470485870519,0.3155983373115138,1941
88,2022-01-26T05:40:28.000000Z,2022-01-26T05:47:33.000000Z,425.0,CADC0872,1,45,1.0,0.36816185489841435,1942
89,2022-01-26T05:48:48.000000Z,2022-01-26T05:49:08.000000Z,20.0,CADC0872,1,2,0.3063990467887407,0.3063990467887407,1942
91,2022-01-26T06:04:08.000000Z,2022-01-26T06:04:48.000000Z,40.0,CADC0873,1,2,0.475854099279229,0.4209518531738309,1182
92,2022-01-26T06:08:28.000000Z,2022-01-26T06:08:33.000000Z,5.0,CADC0872,1,2,0.3300653047303705,0.32390225793449134,1943
93,2022-01-26T06:12:53.000000Z,2022-01-26T06:14:03.000000Z,70.0,CADC0872,1,7,0.5119454991432311,0.3697833728216206,1943
95,2022-01-26T06:22:13.000000Z,2022-01-26T06:22:23.000000Z,10.0,CADC0872,1,2,0.3040942112221002,0.3036339800462885,1944
96,2022-01-26T07:04:28.000000Z,2022-01-26T07:11:09.000000Z,401.0,CADC0872,1,42,0.7783049770418128,0.4205939185268224,1945
98,2022-01-26T07:54:41.000000Z,2022-01-26T07:58:27.000000Z,226.0,CADC0872|CADC0873,2,28,1.0,0.4414043502893565,1183|1946
99,2022-01-26T08:00:34.000000Z,2022-01-26T08:00:44.000000Z,10.0,CADC0872|CADC0873,2,3,0.99,0.7196028775273277,1183|1946
100,2022-01-26T08:11:16.000000Z,2022-01-26T08:16:52.000000Z,336.0,CADC0888,1,58,1.0,0.7208978366166822,1080
101,2022-01-26T08:32:29.000000Z,2022-01-26T08:32:34.000000Z,5.0,CADC0874,1,2,0.479971071232158,0.4069136872455694,712
102,2022-01-26T08:45:04.000000Z,2022-01-26T08:49:10.000000Z,246.0,CADC0872,1,24,1.0,0.43529772418545937,1947
103,2022-01-26T08:50:25.000000Z,2022-01-26T08:50:45.000000Z,20.0,CADC0872,1,5,0.3327545323948652,0.3168235683528044,1947
105,2022-01-26T10:55:38.000000Z,2022-01-26T10:55:48.000000Z,10.0,CADC0874,1,2,0.4434644829603176,0.3837120868466314,713
109,2022-01-26T11:34:54.000000Z,2022-01-26T11:35:09.000000Z,15.0,CADC0874,1,2,0.3602003315503777,0.35221892024155865,715
111,2022-01-26T16:44:52.000000Z,2022-01-26T16:56:22.000000Z,690.0,CADC0872,1,68,1.0,0.3865242490846987,1948
112,2022-01-26T16:47:32.000000Z,2022-01-26T16:50:42.000000Z,190.0,CADC0873,1,19,1.0,0.49723287770484903,1186
113,2022-01-26T18:52:27.000000Z,2022-01-26T18:52:57.000000Z,30.0,CADC0872,1,4,1.0,0.6641691880140895,1949
114,2022-01-26T18:54:27.000000Z,2022-01-26T18:58:37.000000Z,250.0,CADC0872,1,12,0.3313012438052894,0.31242425354416226,1949
115,2022-01-26T19:02:07.000000Z,2022-01-26T19:02:22.000000Z,15.0,CADC0872,1,2,0.4200911816938497,0.3756047059815459,1949
116,2022-01-26T19:31:12.000000Z,2022-01-26T19:32:17.000000Z,65.0,CADC0872,1,12,1.0,0.44701937033753064,1950
117,2022-01-26T19:33:22.000000Z,2022-01-26T19:37:47.000000Z,265.0,CADC0872,1,33,0.3897612494774426,0.33036372045863177,1950
118,2022-01-26T19:53:18.000000Z,2022-01-26T19:58:27.000000Z,309.0,CADC0872,1,56,0.912615946868567,0.597658774929832,1951
119,2022-01-26T20:00:32.000000Z,2022-01-26T20:06:47.000000Z,375.0,CADC0872,1,54,0.933565686775932,0.6128645412609204,1951
120,2022-01-26T20:39:23.000000Z,2022-01-26T20:40:18.000000Z,55.0,CADC0872,1,9,0.7437159356868055,0.4084390375138719,1952
121,2022-01-26T20:41:23.000000Z,2022-01-26T20:43:23.000000Z,120.0,CADC0872,1,19,0.6270187225522755,0.41064848774825274,1952
122,2022-01-26T20:44:38.000000Z,2022-01-26T20:45:13.000000Z,35.0,CADC0872|CADC0873,2,7,0.85,0.3972999722122409,1187|1952
124,2022-01-26T21:28:23.000000Z,2022-01-26T21:29:38.000000Z,75.0,CADC0872,1,4,0.3475721903726121,0.3316803593990484,1953
125,2022-01-26T21:31:03.000000Z,2022-01-26T21:34:28.000000Z,205.0,CADC0872,1,10,1.0,0.45574707109472384,1953
127,2022-01-26T21:38:23.000000Z,2022-01-26T21:38:38.000000Z,15.0,CADC0872,1,3,0.3229605825508825,0.3161207894532059,1954
128,2022-01-26T21:40:08.000000Z,2022-01-26T21:43:43.000000Z,215.0,CADC0872,1,7,0.3394953589144346,0.3248690805747389,1954
129,2022-01-26T21:48:49.000000Z,2022-01-26T21:50:24.000000Z,95.0,CADC0872,1,4,0.3988918051020503,0.3297434164118582,1955
130,2022-01-26T21:51:34.000000Z,2022-01-26T21:53:59.000000Z,145.0,CADC0872,1,8,0.322015529519575,0.3103311644438103,1955
132,2022-01-26T21:56:44.000000Z,2022-01-26T21:57:09.000000Z,25.0,CADC0872,1,2,0.3505799969932184,0.3284895218909796,1955
134,2022-01-26T22:08:49.000000Z,2022-01-26T22:12:19.000000Z,210.0,CADC0872,1,9,0.556696414332897,0.4004993294839195,1956
135,2022-01-26T22:13:59.000000Z,2022-01-26T22:16:39.000000Z,160.0,CADC0872,1,16,1.0,0.40457387354149515,1956
137,2022-01-26T22:32:24.000000Z,2022-01-26T22:36:14.000000Z,230.0,CADC0873,1,16,1.0,0.870625,1189
141,2022-01-27T00:01:04.000000Z,2022-01-27T00:01:19.000000Z,15.0,CADC0873,1,4,0.3795831410100732,0.3543477533667015,1192
143,2022-01-27T00:42:05.000000Z,2022-01-27T00:42:20.000000Z,15.0,CADC0872,1,2,0.3652478867019861,0.3493066042255315,1957
144,2022-01-27T00:43:35.000000Z,2022-01-27T00:44:10.000000Z,35.0,CADC0872,1,7,1.0,0.5167046826058187,1957
146,2022-01-27T00:56:45.000000Z,2022-01-27T00:57:41.000000Z,56.0,CADC0872,1,3,0.8835656867759321,0.5042997408449361,1960
147,2022-01-27T00:59:56.000000Z,2022-01-27T01:04:37.000000Z,281.0,CADC0872,1,31,0.99,0.6274325970208373,1961
148,2022-01-27T02:05:13.000000Z,2022-01-27T02:05:47.000000Z,34.0,CADC0874,1,2,0.4892835425832569,0.4723979568186243,716
149,2022-01-27T02:11:17.000000Z,2022-01-27T02:14:57.000000Z,220.0,CADC0872|CADC0888,2,20,0.8726159468685669,0.5337595115549136,1081|1962
150,2022-01-27T02:15:32.000000Z,2022-01-27T02:20:33.000000Z,301.0,CADC0872,1,46,1.0,0.5811369649827871,1963
153,2022-01-27T02:20:18.000000Z,2022-01-27T02:25:07.000000Z,289.0,CADC0872|CADC0873|CADC0888,3,24,0.8364769507295711,0.4779962637278448,1082|1198|1964
157,2022-01-27T02:26:34.000000Z,2022-01-27T02:28:14.000000Z,100.0,CADC0872|CADC0888,2,8,0.4469999999999999,0.36223902427279203,1084|1965
158,2022-01-27T02:30:09.000000Z,2022-01-27T02:30:59.000000Z,50.0,CADC0874|CADC0888,2,2,0.4103771898410419,0.36400066269900455,717|1084
159,2022-01-27T02:31:09.000000Z,2022-01-27T02:32:49.000000Z,100.0,CADC0888,1,8,0.675,0.43787542720433037,1085
160,2022-01-27T02:34:49.000000Z,2022-01-27T02:35:50.000000Z,61.0,CADC0872|CADC0888,2,9,0.7306060606060606,0.3977136466914566,1085|1967
161,2022-01-27T02:36:00.000000Z,2022-01-27T02:36:55.000000Z,55.0,CADC0888,1,4,0.6377499999999999,0.5254033189033189,1086
162,2022-01-27T02:39:05.000000Z,2022-01-27T02:40:31.000000Z,86.0,CADC0872|CADC0888,2,6,0.8835656867759321,0.40505277802926204,1086|1968
163,2022-01-27T02:40:41.000000Z,2022-01-27T02:45:51.000000Z,310.0,CADC0873|CADC0888,2,44,1.0,0.6798406698981696,1087|1202
164,2022-01-27T02:41:51.000000Z,2022-01-27T02:47:21.000000Z,330.0,CADC0872|CADC0873,2,54,1.0,0.49842691129202155,1202|1969
166,2022-01-27T03:11:43.000000Z,2022-01-27T03:14:13.000000Z,150.0,CADC0873,1,14,1.0,0.9842857142857142,1204
168,2022-01-27T05:19:33.000000Z,2022-01-27T05:19:58.000000Z,25.0,CADC0873,1,3,0.4166738399230473,0.35182185967454815,1206
170,2022-01-27T05:21:53.000000Z,2022-01-27T05:22:23.000000Z,30.0,CADC0873,1,7,0.5789953572620066,0.46455729928489736,1207
171,2022-01-27T05:23:43.000000Z,2022-01-27T05:23:53.000000Z,10.0,CADC0873,1,2,1.0,1.0,1207
177,2022-01-27T06:25:38.000000Z,2022-01-27T06:29:25.000000Z,227.0,CADC0872|CADC0873,2,15,0.9408083307234576,0.47168048411204944,1213|1972
178,2022-01-27T06:28:30.000000Z,2022-01-27T06:28:40.000000Z,10.0,CADC0873,1,2,1.0,0.96,1213
179,2022-01-27T06:29:35.000000Z,2022-01-27T06:30:35.000000Z,60.0,CADC0872,1,2,0.4305492690201388,0.37563736782471013,1973
184,2022-01-27T07:06:39.000000Z,2022-01-27T07:09:00.000000Z,141.0,CADC0872,1,9,1.0,0.513463672195328,1974
187,2022-01-27T07:15:46.000000Z,2022-01-27T07:16:11.000000Z,25.0,CADC0872|CADC0892,2,2,0.4892864682008865,0.44725617243887583,225|1977
188,2022-01-27T07:20:26.000000Z,2022-01-27T07:20:41.000000Z,15.0,CADC0872|CADC0892,2,2,0.3924430920785042,0.3862215460392521,226|1978
189,2022-01-27T07:24:31.000000Z,2022-01-27T07:25:31.000000Z,60.0,CADC0872|CADC0873,2,2,0.3902970769288739,0.38464345428969227,1229|1979
191,2022-01-27T07:28:01.000000Z,2022-01-27T07:28:36.000000Z,35.0,CADC0872|CADC0892,2,5,0.47,0.3938565569802524,228|1980
208,2022-01-27T09:46:56.000000Z,2022-01-27T09:47:01.000000Z,5.0,CADC0872,1,2,0.3108893073241951,0.30952179490829557,1985
210,2022-01-27T09:49:11.000000Z,2022-01-27T09:50:06.000000Z,55.0,CADC0872|CADC0873,2,2,0.4022431930798524,0.3667385443729832,1252|1986
211,2022-01-27T09:50:56.000000Z,2022-01-27T09:51:41.000000Z,45.0,CADC0872,1,4,0.3585388631709708,0.3298620079404879,1986
218,2022-01-27T10:08:26.000000Z,2022-01-27T10:09:21.000000Z,55.0,CADC0872|CADC0888,2,3,0.5486286340995039,0.3919210358493867,1088|1990
219,2022-01-27T10:09:56.000000Z,2022-01-27T10:10:56.000000Z,60.0,CADC0872,1,5,0.4071785492589647,0.3510283994842184,1990
220,2022-01-27T10:11:56.000000Z,2022-01-27T10:12:31.000000Z,35.0,CADC0872|CADC0873|CADC0888,3,4,0.4650492690201387,0.35321990818682314,1088|1257|1991
221,2022-01-27T10:13:21.000000Z,2022-01-27T10:15:11.000000Z,110.0,CADC0888,1,3,0.4548333333333334,0.3557451709692851,1089
223,2022-01-27T10:20:36.000000Z,2022-01-27T10:21:06.000000Z,30.0,CADC0888,1,2,0.3176241355569672,0.31123655222663926,1091
224,2022-01-27T10:24:26.000000Z,2022-01-27T10:24:46.000000Z,20.0,CADC0888,1,3,0.4765453148395723,0.3629824981380314,1092
225,2022-01-27T10:28:02.000000Z,2022-01-27T10:28:22.000000Z,20.0,CADC0888,1,2,0.3527467509665918,0.32879785993145155,1093
227,2022-01-27T10:32:17.000000Z,2022-01-27T10:32:37.000000Z,20.0,CADC0888,1,2,0.4917777777777777,0.4655555555555555,1094
229,2022-01-27T10:53:33.000000Z,2022-01-27T10:53:53.000000Z,20.0,CADC0872,1,2,0.3804103236205688,0.3462220119322571,1993
230,2022-01-27T10:55:13.000000Z,2022-01-27T10:55:42.000000Z,29.0,CADC0872,1,4,0.3676152735527914,0.3348174992307501,1993
232,2022-01-27T11:16:55.000000Z,2022-01-27T11:17:05.000000Z,10.0,CADC0872,1,2,0.3412410490335826,0.32536459407287316,1995
233,2022-01-27T11:18:20.000000Z,2022-01-27T11:21:45.000000Z,205.0,CADC0872,1,12,1.0,0.6442870214065897,1996
234,2022-01-27T13:07:06.000000Z,2022-01-27T13:07:31.000000Z,25.0,CADC0872,1,6,0.5070254386819468,0.45305376401877134,1997
235,2022-01-27T13:09:31.000000Z,2022-01-27T13:12:01.000000Z,150.0,CADC0872,1,25,0.88,0.39871672482228443,1997
238,2022-01-27T13:36:46.000000Z,2022-01-27T13:37:41.000000Z,55.0,CADC0872,1,2,0.320118610748219,0.310507759132976,1999
239,2022-01-27T13:56:11.000000Z,2022-01-27T13:56:36.000000Z,25.0,CADC0873,1,4,0.3907315126312037,0.3747262820084737,1266
241,2022-01-27T15:04:21.000000Z,2022-01-27T15:09:21.000000Z,300.0,CADC0872,1,29,1.0,0.42224312851294676,2000
243,2022-01-27T16:02:18.000000Z,2022-01-27T16:03:18.000000Z,60.0,CADC0872|CADC0874,2,3,0.526776610791633,0.3881881686140267,719|2004
245,2022-01-27T16:14:38.000000Z,2022-01-27T16:17:43.000000Z,185.0,CADC0872,1,17,0.6330492690201388,0.36192027139800625,2007
247,2022-01-27T16:31:48.000000Z,2022-01-27T16:35:38.000000Z,230.0,CADC0872,1,24,1.0,0.36902633742283286,2008
251,2022-01-27T17:03:13.000000Z,2022-01-27T17:03:38.000000Z,25.0,CADC0872,1,2,0.341236779782715,0.3348909198494029,2012
252,2022-01-27T17:14:28.000000Z,2022-01-27T17:18:18.000000Z,230.0,CADC0872,1,28,1.0,0.4618278705309456,2013
254,2022-01-27T17:34:23.000000Z,2022-01-27T17:34:48.000000Z,25.0,CADC0872|CADC0873,2,5,0.85,0.5182319987972873,1273|2017
255,2022-01-27T17:35:03.000000Z,2022-01-27T17:35:38.000000Z,35.0,CADC0872|CADC0874,2,2,0.6336087928296626,0.5368569820416578,720|2018
256,2022-01-27T17:36:53.000000Z,2022-01-27T17:37:48.000000Z,55.0,CADC0872,1,4,0.3087413128121624,0.3045744433614369,2018
259,2022-01-27T17:44:13.000000Z,2022-01-27T17:44:53.000000Z,40.0,CADC0872|CADC0873,2,2,0.3596537344106071,0.33093840405394687,1276|2020
261,2022-01-27T18:07:00.000000Z,2022-01-27T18:10:50.000000Z,230.0,CADC0872,1,18,1.0,0.5436217891283561,2022
262,2022-01-27T18:13:05.000000Z,2022-01-27T18:13:10.000000Z,5.0,CADC0872,1,2,0.3193044860331626,0.3143414903847429,2023
264,2022-01-27T18:50:45.000000Z,2022-01-27T18:53:45.000000Z,180.0,CADC0872,1,29,1.0,0.4076734995253137,2026
267,2022-01-27T19:03:10.000000Z,2022-01-27T19:04:05.000000Z,55.0,CADC0872|CADC0873,2,2,0.346952440569232,0.32362904906903933,1282|2029
269,2022-01-27T19:09:55.000000Z,2022-01-27T19:10:05.000000Z,10.0,CADC0874,1,2,0.3945693034937511,0.3945693034937511,722
270,2022-01-27T19:10:15.000000Z,2022-01-27T19:11:05.000000Z,50.0,CADC0873|CADC0874,2,2,0.4896189231094239,0.4297429877548336,723|1284
271,2022-01-27T19:14:00.000000Z,2022-01-27T19:14:50.000000Z,50.0,CADC0872|CADC0873,2,2,0.3798670524002434,0.35217807968011006,1285|2032
273,2022-01-27T19:20:20.000000Z,2022-01-27T19:20:30.000000Z,10.0,CADC0873|CADC0874,2,2,0.8478661700639297,0.7020174216390213,724|1286
281,2022-01-27T20:39:30.000000Z,2022-01-27T20:40:15.000000Z,45.0,CADC0872,1,2,0.3108893073241951,0.3087596877245118,2036
282,2022-01-27T20:42:00.000000Z,2022-01-27T20:43:10.000000Z,70.0,CADC0873|CADC0874,2,4,0.4801859107365708,0.44810097753937084,726|1293
284,2022-01-27T20:52:46.000000Z,2022-01-27T20:53:16.000000Z,30.0,CADC0872|CADC0874,2,2,0.4992418320188073,0.4915539604885187,727|2040
286,2022-01-27T20:55:26.000000Z,2022-01-27T20:55:36.000000Z,10.0,CADC0872,1,3,0.5061752176588454,0.4280326064569962,2040
287,2022-01-27T20:57:26.000000Z,2022-01-27T20:58:56.000000Z,90.0,CADC0872,1,3,0.581634406105276,0.40028711556730784,2041
288,2022-01-27T21:02:46.000000Z,2022-01-27T21:03:46.000000Z,60.0,CADC0872|CADC0874,2,7,0.4705821768524628,0.3865349931540601,728|2042
294,2022-01-27T21:13:46.000000Z,2022-01-27T21:14:46.000000Z,60.0,CADC0872|CADC0874,2,3,0.5447579908405931,0.4096693341046223,729|2045
295,2022-01-27T21:15:41.000000Z,2022-01-27T21:16:36.000000Z,55.0,CADC0872|CADC0873,2,2,0.4013565923957449,0.3950362640412751,1301|2046
301,2022-01-27T21:47:55.000000Z,2022-01-27T21:51:35.000000Z,220.0,CADC0872,1,20,1.0,0.4591961106726809,2053
304,2022-01-27T21:56:35.000000Z,2022-01-27T21:57:05.000000Z,30.0,CADC0873|CADC0874,2,2,0.9265260635345686,0.7210263213249501,731|1311
307,2022-01-27T22:05:35.000000Z,2022-01-27T22:06:05.000000Z,30.0,CADC0872|CADC0873,2,2,0.3754500977643142,0.3431890004869945,1313|2057
309,2022-01-27T22:12:36.000000Z,2022-01-27T22:13:31.000000Z,55.0,CADC0872,1,3,0.3211352827196766,0.3087758754935443,2058
310,2022-01-27T22:14:51.000000Z,2022-01-27T22:15:06.000000Z,15.0,CADC0872,1,3,0.3124396925087017,0.30945511676899934,2058
311,2022-01-27T22:16:12.000000Z,2022-01-27T22:16:42.000000Z,30.0,CADC0872,1,3,0.7319472088664705,0.45979847031205295,2058
315,2022-01-27T22:30:43.000000Z,2022-01-27T22:31:33.000000Z,50.0,CADC0872|CADC0874,2,3,0.6536378301966737,0.4776541094404739,733|2062
319,2022-01-27T22:39:03.000000Z,2022-01-27T22:39:23.000000Z,20.0,CADC0872,1,3,0.3062635147551169,0.30495428485483056,2064
320,2022-01-27T22:40:08.000000Z,2022-01-27T22:40:23.000000Z,15.0,CADC0873,1,2,0.3773743216610228,0.3549076033540205,1320
322,2022-01-27T22:42:38.000000Z,2022-01-27T22:45:28.000000Z,170.0,CADC0872|CADC0873,2,20,1.0,0.48896005582433555,1321|2065
323,2022-01-27T22:45:08.000000Z,2022-01-27T22:45:28.000000Z,20.0,CADC0873,1,4,1.0,0.99,1321
324,2022-01-27T22:47:03.000000Z,2022-01-27T22:47:33.000000Z,30.0,CADC0872|CADC0873,2,5,0.5011021244686766,0.45668842036479446,1321|2065
326,2022-01-27T23:39:33.000000Z,2022-01-27T23:39:38.000000Z,5.0,CADC0873,1,2,0.3558490104619157,0.33088730070747324,1324
329,2022-01-28T01:00:44.000000Z,2022-01-28T01:01:44.000000Z,60.0,CADC0874,1,2,0.4200643866980671,0.3654137634848914,735
331,2022-01-28T01:46:25.000000Z,2022-01-28T01:52:29.000000Z,364.0,CADC0872,1,33,0.878565686775932,0.5855593852764458,2066
332,2022-01-28T01:54:04.000000Z,2022-01-28T01:54:25.000000Z,21.0,CADC0872,1,2,0.3526159468685672,0.3515979719308928,2067
333,2022-01-28T01:55:05.000000Z,2022-01-28T01:58:30.000000Z,205.0,CADC0874,1,39,0.8920112420926541,0.5123296776756658,736
335,2022-01-28T01:56:50.000000Z,2022-01-28T01:57:20.000000Z,30.0,CADC0872,1,4,0.6867476817185515,0.4298288901516264,2068
336,2022-01-28T02:00:35.000000Z,2022-01-28T02:02:00.000000Z,85.0,CADC0872|CADC0874,2,17,1.0,0.588864237930286,736|2068
348,2022-01-28T07:32:58.000000Z,2022-01-28T07:33:28.000000Z,30.0,CADC0873,1,2,1.0,0.675,1331
357,2022-01-28T12:57:55.000000Z,2022-01-28T13:02:05.000000Z,250.0,CADC0872,1,24,0.8910821031215213,0.3706890827923872,2069
358,2022-01-28T13:18:01.000000Z,2022-01-28T13:23:17.000000Z,316.0,CADC0872,1,27,1.0,0.47148609300995203,2070
359,2022-01-28T13:23:27.000000Z,2022-01-28T13:25:27.000000Z,120.0,CADC0872,1,11,0.6827397452106149,0.36871022541850834,2071
360,2022-01-28T13:26:32.000000Z,2022-01-28T13:27:27.000000Z,55.0,CADC0872,1,10,1.0,0.4583066848509835,2071
361,2022-01-28T13:47:17.000000Z,2022-01-28T13:47:52.000000Z,35.0,CADC0872,1,8,1.0,0.5436611446282599,2072
362,2022-01-28T13:48:57.000000Z,2022-01-28T13:51:17.000000Z,140.0,CADC0872,1,13,0.3505799969932184,0.3163244068314951,2072
363,2022-01-28T14:34:03.000000Z,2022-01-28T14:38:28.000000Z,265.0,CADC0872,1,26,1.0,0.4085677295452091,2073
366,2022-01-28T16:02:51.000000Z,2022-01-28T16:03:31.000000Z,40.0,CADC0874,1,5,0.6407932933747054,0.45299902325477326,753
367,2022-01-28T16:06:56.000000Z,2022-01-28T16:07:06.000000Z,10.0,CADC0874,1,2,0.7201209059582004,0.5245985572690214,753
368,2022-01-28T16:55:06.000000Z,2022-01-28T16:55:16.000000Z,10.0,CADC0873,1,2,0.4306687596963365,0.3675620063307971,1338
369,2022-01-28T17:42:11.000000Z,2022-01-28T17:43:16.000000Z,65.0,CADC0873,1,4,1.0,0.5790368683293053,1352
378,2022-01-28T20:53:44.000000Z,2022-01-28T20:53:50.000000Z,6.0,CADC0894,1,2,0.348,0.32599999999999996,1095
385,2022-01-28T21:17:30.000000Z,2022-01-28T21:17:40.000000Z,10.0,CADC0894,1,2,0.5245198412698412,0.5234373015873015,1100
388,2022-01-28T21:34:15.000000Z,2022-01-28T21:39:57.000000Z,342.0,CADC0874|CADC0894,2,56,1.0,0.600569865587875,754|1104
389,2022-01-28T21:38:01.000000Z,2022-01-28T21:38:26.000000Z,25.0,CADC0894,1,3,0.46,0.43333333333333335,1105
390,2022-01-28T21:40:07.000000Z,2022-01-28T21:43:12.000000Z,185.0,CADC0874,1,38,1.0,0.7792628134332729,755
391,2022-01-28T21:42:12.000000Z,2022-01-28T21:42:22.000000Z,10.0,CADC0894,1,2,0.4674372294372293,0.42471861471861466,1106
392,2022-01-28T21:43:32.000000Z,2022-01-28T21:47:27.000000Z,235.0,CADC0874|CADC0894,2,21,1.0,0.7996110082844154,756|1106
393,2022-01-28T21:47:07.000000Z,2022-01-28T21:53:17.000000Z,370.0,CADC0894,1,74,1.0,0.7288255791505792,1107
395,2022-01-28T22:46:22.000000Z,2022-01-28T22:47:07.000000Z,45.0,CADC0894,1,4,0.5107111221360714,0.4152662545599919,1112
399,2022-01-28T22:53:58.000000Z,2022-01-28T22:54:03.000000Z,5.0,CADC0894,1,2,0.3618330558330557,0.3448748612498611,1114
403,2022-01-28T23:00:18.000000Z,2022-01-28T23:01:03.000000Z,45.0,CADC0894,1,3,0.6648015873015873,0.4473902116402117,1116
404,2022-01-28T23:04:03.000000Z,2022-01-28T23:04:18.000000Z,15.0,CADC0873|CADC0894,2,3,0.6298111111111111,0.48149639256431254,1117|1417
413,2022-01-29T01:47:23.000000Z,2022-01-29T01:47:53.000000Z,30.0,CADC0874,1,2,0.4610798092892306,0.3931898335808268,757
